@RELATION predict

@ATTRIBUTE act_last   {Meal_Preparation,Relax,Eating,Work,Sleeping,Wash_Dishes,Bed_to_Toilet,Enter_Home,Leave_Home,Housekeeping,Resperate}
@ATTRIBUTE act   {Meal_Preparation,Relax,Eating,Work,Sleeping,Wash_Dishes,Bed_to_Toilet,Enter_Home,Leave_Home,Housekeeping,Resperate}
@data
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Bed_to_Toilet,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Sleeping,Bed_to_Toilet
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Relax,Sleeping
Relax,Sleeping
Relax,Sleeping
Relax,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Meal_Preparation
Relax,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Eating,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Relax,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Meal_Preparation
Meal_Preparation,Relax
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Relax
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Relax,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Meal_Preparation
Meal_Preparation,Relax
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Meal_Preparation
Meal_Preparation,Relax
Relax,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Sleeping,Meal_Preparation
Sleeping,Meal_Preparation
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Meal_Preparation
Meal_Preparation,Relax
Sleeping,Meal_Preparation
Meal_Preparation,Relax
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Meal_Preparation
Meal_Preparation,Relax
Relax,Sleeping
Sleeping,Meal_Preparation
Meal_Preparation,Relax
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Meal_Preparation
Sleeping,Meal_Preparation
Meal_Preparation,Relax
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Meal_Preparation
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Meal_Preparation
Meal_Preparation,Relax
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Meal_Preparation
Meal_Preparation,Relax
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Relax
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Meal_Preparation
Meal_Preparation,Relax
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Meal_Preparation
Meal_Preparation,Relax
Sleeping,Meal_Preparation
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Meal_Preparation
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Meal_Preparation
Sleeping,Meal_Preparation
