@RELATION predict

@ATTRIBUTE act_last   {Meal_Preparation,Relax,Eating,Work,Sleeping,Wash_Dishes,Bed_to_Toilet,Enter_Home,Leave_Home,Housekeeping,Resperate}
@ATTRIBUTE act   {Meal_Preparation,Relax,Eating,Work,Sleeping,Wash_Dishes,Bed_to_Toilet,Enter_Home,Leave_Home,Housekeeping,Resperate}
@data
Work,Sleeping
Work,Sleeping
Relax,Work
Work,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Sleeping,Meal_Preparation
Relax,Sleeping
Eating,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Meal_Preparation
Meal_Preparation,Eating
Eating,Wash_Dishes
Wash_Dishes,Relax
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Sleeping,Meal_Preparation
Meal_Preparation,Relax
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Meal_Preparation
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Leave_Home,Enter_Home
Enter_Home,Relax
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Bed_to_Toilet,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Bed_to_Toilet,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Meal_Preparation
Meal_Preparation,Relax
Relax,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Meal_Preparation
Meal_Preparation,Relax
Relax,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Meal_Preparation
Meal_Preparation,Relax
Relax,Sleeping
Sleeping,Meal_Preparation
Meal_Preparation,Relax
Leave_Home,Enter_Home
Enter_Home,Relax
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Sleeping,Meal_Preparation
Meal_Preparation,Relax
Sleeping,Meal_Preparation
Meal_Preparation,Relax
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Relax,Sleeping
Relax,Sleeping
Sleeping,Meal_Preparation
Leave_Home,Enter_Home
Enter_Home,Relax
Relax,Sleeping
Sleeping,Meal_Preparation
Meal_Preparation,Leave_Home
Relax,Sleeping
Sleeping,Meal_Preparation
