@RELATION predict

@ATTRIBUTE act_last   {Meal_Preparation,Relax,Eating,Work,Sleeping,Wash_Dishes,Bed_to_Toilet,Enter_Home,Leave_Home,Housekeeping,Resperate}
@ATTRIBUTE act   {Meal_Preparation,Relax,Eating,Work,Sleeping,Wash_Dishes,Bed_to_Toilet,Enter_Home,Leave_Home,Housekeeping,Resperate}
@data
Enter_Home,Work
Relax,Work
Work,Eating
Eating,Relax
Eating,Relax
Eating,Wash_Dishes
Wash_Dishes,Work
Work,Relax
Eating,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Work
Work,Meal_Preparation
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Eating
Meal_Preparation,Eating
Eating,Wash_Dishes
Wash_Dishes,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Leave_Home,Enter_Home
Enter_Home,Meal_Preparation
Meal_Preparation,Eating
Eating,Relax
Enter_Home,Meal_Preparation
Meal_Preparation,Eating
Eating,Wash_Dishes
Wash_Dishes,Relax
Relax,Meal_Preparation
Meal_Preparation,Eating
Eating,Relax
Relax,Meal_Preparation
Meal_Preparation,Eating
Eating,Wash_Dishes
Wash_Dishes,Relax
Relax,Sleeping
Sleeping,Bed_to_Toilet
Bed_to_Toilet,Sleeping
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Eating
Eating,Relax
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Eating
Eating,Relax
Relax,Wash_Dishes
Wash_Dishes,Relax
Relax,Meal_Preparation
Meal_Preparation,Eating
Eating,Relax
Relax,Wash_Dishes
Wash_Dishes,Relax
Relax,Meal_Preparation
Meal_Preparation,Eating
Eating,Wash_Dishes
Wash_Dishes,Relax
Relax,Sleeping
Leave_Home,Enter_Home
Enter_Home,Relax
Relax,Leave_Home
Relax,Sleeping
Leave_Home,Enter_Home
Enter_Home,Meal_Preparation
Meal_Preparation,Eating
Eating,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Meal_Preparation,Relax
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Eating
Eating,Relax
Leave_Home,Enter_Home
Enter_Home,Relax
Enter_Home,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Sleeping
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Eating
Eating,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Eating
Eating,Relax
Relax,Meal_Preparation
Meal_Preparation,Eating
Eating,Relax
Relax,Wash_Dishes
Wash_Dishes,Relax
Leave_Home,Enter_Home
Enter_Home,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Meal_Preparation,Relax
Leave_Home,Enter_Home
Enter_Home,Meal_Preparation
Meal_Preparation,Relax
Relax,Wash_Dishes
Wash_Dishes,Relax
Leave_Home,Enter_Home
Enter_Home,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Wash_Dishes
Wash_Dishes,Relax
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Eating,Relax
Leave_Home,Enter_Home
Enter_Home,Meal_Preparation
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Wash_Dishes
Wash_Dishes,Relax
Relax,Sleeping
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Wash_Dishes
Wash_Dishes,Relax
Relax,Meal_Preparation
Meal_Preparation,Eating
Eating,Relax
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Eating,Wash_Dishes
Wash_Dishes,Relax
Leave_Home,Enter_Home
Enter_Home,Meal_Preparation
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Meal_Preparation,Relax
Relax,Wash_Dishes
Wash_Dishes,Relax
Leave_Home,Enter_Home
Enter_Home,Relax
Relax,Sleeping
Relax,Wash_Dishes
Wash_Dishes,Relax
Relax,Wash_Dishes
Wash_Dishes,Relax
Relax,Wash_Dishes
Wash_Dishes,Relax
Relax,Work
Work,Relax
Leave_Home,Enter_Home
Enter_Home,Meal_Preparation
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
