@RELATION predict

@ATTRIBUTE act_last   {Meal_Preparation,Relax,Eating,Work,Sleeping,Wash_Dishes,Bed_to_Toilet,Enter_Home,Leave_Home,Housekeeping,Resperate}
@ATTRIBUTE act   {Meal_Preparation,Relax,Eating,Work,Sleeping,Wash_Dishes,Bed_to_Toilet,Enter_Home,Leave_Home,Housekeeping,Resperate}
@data
Enter_Home,Relax
Relax,Meal_Preparation
Meal_Preparation,Eating
Eating,Work
Work,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Eating
Eating,Wash_Dishes
Wash_Dishes,Work
Leave_Home,Enter_Home
Enter_Home,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Meal_Preparation
Meal_Preparation,Eating
Eating,Wash_Dishes
Wash_Dishes,Leave_Home
Leave_Home,Enter_Home
Leave_Home,Enter_Home
Enter_Home,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Relax
Relax,Housekeeping
Housekeeping,Work
Work,Meal_Preparation
Meal_Preparation,Eating
Eating,Relax
Relax,Eating
Eating,Meal_Preparation
Meal_Preparation,Eating
Eating,Relax
Relax,Work
Work,Relax
Relax,Eating
Eating,Meal_Preparation
Meal_Preparation,Eating
Eating,Wash_Dishes
Wash_Dishes,Relax
Enter_Home,Meal_Preparation
Meal_Preparation,Eating
Eating,Wash_Dishes
Wash_Dishes,Relax
Relax,Housekeeping
Housekeeping,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Work
Work,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Work
Work,Relax
Relax,Meal_Preparation
Meal_Preparation,Eating
Eating,Meal_Preparation
Meal_Preparation,Eating
Eating,Relax
Relax,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Relax
Relax,Meal_Preparation
Meal_Preparation,Eating
Eating,Meal_Preparation
Meal_Preparation,Eating
Leave_Home,Enter_Home
Enter_Home,Meal_Preparation
Meal_Preparation,Eating
Eating,Meal_Preparation
Meal_Preparation,Eating
Eating,Relax
Relax,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Relax
Enter_Home,Meal_Preparation
Meal_Preparation,Eating
Eating,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Work
Work,Housekeeping
Housekeeping,Work
Work,Meal_Preparation
Meal_Preparation,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Meal_Preparation
Meal_Preparation,Eating
Eating,Relax
Relax,Meal_Preparation
Meal_Preparation,Eating
Eating,Relax
Relax,Work
Work,Meal_Preparation
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Leave_Home,Enter_Home
Enter_Home,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Meal_Preparation
Meal_Preparation,Eating
Eating,Wash_Dishes
Wash_Dishes,Relax
Relax,Leave_Home
Relax,Housekeeping
Housekeeping,Work
Work,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Leave_Home,Enter_Home
Leave_Home,Enter_Home
Enter_Home,Work
Work,Relax
Leave_Home,Enter_Home
Enter_Home,Relax
Meal_Preparation,Eating
Eating,Wash_Dishes
Wash_Dishes,Relax
Leave_Home,Enter_Home
Enter_Home,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Relax
Relax,Housekeeping
Housekeeping,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Meal_Preparation
Relax,Housekeeping
Housekeeping,Relax
Relax,Work
Work,Relax
Eating,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Relax
Enter_Home,Meal_Preparation
Meal_Preparation,Relax
Relax,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Relax
Relax,Meal_Preparation
Meal_Preparation,Work
Work,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Relax
Relax,Meal_Preparation
Meal_Preparation,Eating
Eating,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Eating,Housekeeping
Housekeeping,Meal_Preparation
Meal_Preparation,Relax
Leave_Home,Enter_Home
Enter_Home,Relax
Relax,Meal_Preparation
Meal_Preparation,Relax
Relax,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Meal_Preparation
Leave_Home,Enter_Home
Enter_Home,Meal_Preparation
Meal_Preparation,Relax
Relax,Leave_Home
Leave_Home,Enter_Home
Enter_Home,Relax
Relax,Eating
Eating,Leave_Home
Leave_Home,Enter_Home
